######## f64 gamma=0.005 T_free=5 ########
  0.005 |    0.3412    0.8421 |       1.0000     -0.8852     -0.8852
######## f64 gamma=0.005 T_free=6 ########
  0.005 |    0.3412    0.3585 |       1.0000     -0.7719     -0.7719
######## f64 gamma=0.005 T_free=7 ########
  0.005 |    0.3412    0.1612 |       1.0000      0.0099      0.0099
######## f64 gamma=0.005 T_free=8 ########
  0.005 |    0.3412    0.1790 |       1.0000      0.7063      0.7063
######## f64 gamma=0.005 T_free=9 ########
  0.005 |    0.3412    0.2372 |       1.0000      0.9410      0.9410
######## f64 gamma=0.005 T_free=10 ########
  0.005 |    0.3412    0.2798 |       1.0000      0.9894      0.9894
######## f64 gamma=0.005 T_free=12 ########
  0.005 |    0.3412    0.3192 |       1.0000      0.9994      0.9994
######## f64 gamma=0.005 T_free=14 ########
  0.005 |    0.3412    0.3310 |       1.0000      1.0000      1.0000
######## f64 gamma=0.005 T_free=20 ########
  0.005 |    0.3412    0.3357 |       1.0000      1.0000      1.0000
######## f64 gamma=0.005 T_free=30 ########
  0.005 |    0.3412    0.3358 |       1.0000      1.0000      1.0000
######## f64 gamma=0.3 T_free=5 ########
    0.3 |    0.3411    0.8424 |       1.0000     -0.8864     -0.8863
######## f64 gamma=0.3 T_free=6 ########
    0.3 |    0.3411    0.3585 |       1.0000     -0.7783     -0.7782
######## f64 gamma=0.3 T_free=7 ########
    0.3 |    0.3411    0.1604 |       1.0000      0.0031      0.0032
######## f64 gamma=0.3 T_free=8 ########
    0.3 |    0.3411    0.1776 |       1.0000      0.7031      0.7032
######## f64 gamma=0.3 T_free=9 ########
    0.3 |    0.3411    0.2356 |       1.0000      0.9394      0.9395
######## f64 gamma=0.3 T_free=10 ########
    0.3 |    0.3411    0.2781 |       1.0000      0.9885      0.9885
######## f64 gamma=0.3 T_free=12 ########
    0.3 |    0.3411    0.3174 |       1.0000      0.9988      0.9988
######## f64 gamma=0.3 T_free=14 ########
    0.3 |    0.3411    0.3293 |       1.0000      0.9993      0.9993
######## f64 gamma=0.3 T_free=20 ########
    0.3 |    0.3411    0.3339 |       1.0000      0.9994      0.9994
######## f64 gamma=0.3 T_free=30 ########
    0.3 |    0.3411    0.3340 |       1.0000      0.9994      0.9994
######## f64 gamma=1.0 T_free=5 ########
    1.0 |    0.3408    0.8447 |       1.0000     -0.8881     -0.8879
######## f64 gamma=1.0 T_free=6 ########
    1.0 |    0.3408    0.3606 |       1.0000     -0.7892     -0.7889
######## f64 gamma=1.0 T_free=7 ########
    1.0 |    0.3408    0.1590 |       1.0000     -0.0173     -0.0168
######## f64 gamma=1.0 T_free=8 ########
    1.0 |    0.3408    0.1741 |       1.0000      0.6947      0.6951
######## f64 gamma=1.0 T_free=9 ########
    1.0 |    0.3408    0.2313 |       1.0000      0.9345      0.9347
######## f64 gamma=1.0 T_free=10 ########
    1.0 |    0.3408    0.2735 |       1.0000      0.9861      0.9862
######## f64 gamma=1.0 T_free=12 ########
    1.0 |    0.3408    0.3126 |       1.0000      0.9975      0.9975
######## f64 gamma=1.0 T_free=14 ########
    1.0 |    0.3408    0.3245 |       1.0000      0.9982      0.9982
######## f64 gamma=1.0 T_free=20 ########
    1.0 |    0.3408    0.3291 |       1.0000      0.9983      0.9983
######## f64 gamma=1.0 T_free=30 ########
    1.0 |    0.3408    0.3292 |       1.0000      0.9983      0.9983
######## f64 gamma=10.0 T_free=5 ########
   10.0 |    0.3372    0.9103 |       0.9999     -0.8998     -0.8972
######## f64 gamma=10.0 T_free=6 ########
   10.0 |    0.3372    0.4190 |       0.9999     -0.8454     -0.8424
######## f64 gamma=10.0 T_free=7 ########
   10.0 |    0.3372    0.1791 |       0.9999     -0.2867     -0.2830
######## f64 gamma=10.0 T_free=8 ########
   10.0 |    0.3372    0.1572 |       0.9999      0.4021      0.4059
######## f64 gamma=10.0 T_free=9 ########
   10.0 |    0.3372    0.1949 |       0.9999      0.7427      0.7456
######## f64 gamma=10.0 T_free=10 ########
   10.0 |    0.3372    0.2299 |       0.9999      0.8729      0.8748
######## f64 gamma=10.0 T_free=12 ########
   10.0 |    0.3372    0.2657 |       0.9999      0.9320      0.9329
######## f64 gamma=10.0 T_free=14 ########
   10.0 |    0.3372    0.2771 |       0.9999      0.9421      0.9427
######## f64 gamma=10.0 T_free=20 ########
   10.0 |    0.3372    0.2818 |       0.9999      0.9455      0.9461
######## f64 gamma=10.0 T_free=30 ########
   10.0 |    0.3372    0.2820 |       0.9999      0.9456      0.9462
######## f64 gamma=100.0 T_free=5 ########
  100.0 |    0.3017    0.7146 |       0.9930     -0.8465     -0.8257
######## f64 gamma=100.0 T_free=6 ########
  100.0 |    0.3017    0.3657 |       0.9930     -0.8101     -0.7909
######## f64 gamma=100.0 T_free=7 ########
  100.0 |    0.3017    0.1824 |       0.9930     -0.5198     -0.5022
######## f64 gamma=100.0 T_free=8 ########
  100.0 |    0.3017    0.1396 |       0.9930      0.0288      0.0413
######## f64 gamma=100.0 T_free=9 ########
  100.0 |    0.3017    0.1474 |       0.9930      0.3619      0.3624
######## f64 gamma=100.0 T_free=10 ########
  100.0 |    0.3017    0.1649 |       0.9930      0.5274      0.5187
######## f64 gamma=100.0 T_free=12 ########
  100.0 |    0.3017    0.1994 |       0.9930      0.6140      0.6007
######## f64 gamma=100.0 T_free=14 ########
  100.0 |    0.3017    0.2074 |       0.9930      0.6581      0.6410
######## f64 gamma=100.0 T_free=20 ########
  100.0 |    0.3017    0.2216 |       0.9930      0.6363      0.6218
######## f64 gamma=100.0 T_free=30 ########
  100.0 |    0.3017    0.2179 |       0.9930      0.6478      0.6328
Exit code: 0
