######## beta=3.0 gamma=0.1 T_free=5 ########
    0.1 |    0.3241    0.8483 |       1.0000     -0.9741     -0.9742
######## beta=3.0 gamma=0.1 T_free=6 ########
    0.1 |    0.3241    0.3542 |       1.0000     -0.9487     -0.9488
######## beta=3.0 gamma=0.1 T_free=7 ########
    0.1 |    0.3241    0.0853 |       1.0000     -0.6233     -0.6236
######## beta=3.0 gamma=0.1 T_free=8 ########
    0.1 |    0.3241    0.1113 |       1.0000      0.9141      0.9140
######## beta=3.0 gamma=0.1 T_free=9 ########
    0.1 |    0.3241    0.2073 |       1.0000      0.9890      0.9890
######## beta=3.0 gamma=0.1 T_free=10 ########
    0.1 |    0.3240    0.2533 |       1.0000      0.9946      0.9946
######## beta=3.0 gamma=0.1 T_free=12 ########
    0.1 |    0.3241    0.2967 |       1.0000      0.9967      0.9967
######## beta=3.0 gamma=0.1 T_free=14 ########
    0.1 |    0.3241    0.3172 |       1.0000      0.9969      0.9969
######## beta=100.0 gamma=0.1 T_free=5 ########
    0.1 |    0.3241    0.8411 |       1.0000     -0.9750     -0.9751
######## beta=100.0 gamma=0.1 T_free=6 ########
    0.1 |    0.3241    0.3491 |       1.0000     -0.9519     -0.9520
######## beta=100.0 gamma=0.1 T_free=7 ########
    0.1 |    0.3241    0.0772 |       1.0000     -0.6177     -0.6179
######## beta=100.0 gamma=0.1 T_free=8 ########
    0.1 |    0.3241    0.1195 |       1.0000      0.9607      0.9606
######## beta=100.0 gamma=0.1 T_free=9 ########
    0.1 |    0.3241    0.2067 |       1.0000      0.9959      0.9958
######## beta=100.0 gamma=0.1 T_free=10 ########
    0.1 |    0.3241    0.2570 |       1.0000      0.9990      0.9990
######## beta=100.0 gamma=0.1 T_free=12 ########
    0.1 |    0.3241    0.2998 |       1.0000      0.9997      0.9997
######## beta=100.0 gamma=0.1 T_free=14 ########
    0.1 |    0.3240    0.3125 |       1.0000      0.9998      0.9998
Exit code: 0
