######## n_cg=1 ########
   0.01 |    0.4782    0.4173 |       1.0000      0.9146      0.9146
    0.1 |    0.4781    0.4674 |       1.0000      0.9987      0.9987
    0.3 |    0.4781    0.4648 |       1.0000      0.9998      0.9998
######## n_cg=2 ########
   0.01 |    0.4782    0.4197 |       1.0000      0.9137      0.9137
    0.1 |    0.4781    0.4670 |       1.0000      0.9984      0.9984
    0.3 |    0.4781    0.4653 |       1.0000      0.9997      0.9997
######## n_cg=3 ########
   0.01 |    0.4782    0.4163 |       1.0000      0.9015      0.9015
    0.1 |    0.4781    0.4673 |       1.0000      0.9989      0.9989
    0.3 |    0.4781    0.4652 |       1.0000      0.9999      0.9999
######## n_cg=5 ########
   0.01 |    0.4782    0.4156 |       1.0000      0.8892      0.8892
    0.1 |    0.4781    0.4675 |       1.0000      0.9988      0.9988
    0.3 |    0.4781    0.4654 |       1.0000      0.9997      0.9997
######## n_cg=10 ########
   0.01 |    0.4782    0.4070 |       1.0000      0.9056      0.9056
    0.1 |    0.4781    0.4669 |       1.0000      0.9992      0.9992
    0.3 |    0.4781    0.4654 |       1.0000      0.9997      0.9997
######## n_cg=20 ########
   0.01 |    0.4782    0.4191 |       1.0000      0.9319      0.9320
    0.1 |    0.4781    0.4687 |       1.0000      0.9987      0.9987
    0.3 |    0.4781    0.4653 |       1.0000      0.9999      0.9999
######## n_cg=50 ########
   0.01 |    0.4782    0.4056 |       1.0000      0.8973      0.8973
    0.1 |    0.4781    0.4636 |       1.0000      0.9991      0.9991
    0.3 |    0.4781    0.4647 |       1.0000      0.9997      0.9997
Exit code: 0
